historicomes,historicoporccomp,anionro,historicoindice
9,60.38,2022,7919
11,80.39,2022,7919
12,98.0,2022,7919
13,100.0,2022,7919
14,100.0,2022,7919
15,100.0,2022,7919
16,100.0,2022,7919
18,100.0,2022,7919
17,100.0,2022,7919
1,0.0,2022,7919
2,0.0,2022,7919
3,13.33,2022,7919
4,22.0,2022,7919
5,30.0,2022,7919
6,38.0,2022,7919
7,45.1,2022,7919
8,51.85,2022,7919
10,69.23,2022,7919
6,45.28,2021,7919
7,45.28,2021,7919
8,59.26,2021,7919
9,66.67,2021,7919
10,72.22,2021,7919
2,16.67,2021,7919
3,15.0,2021,7919
4,23.33,2021,7919
5,31.15,2021,7919
1,0.0,2021,7919
11,79.63,2021,7919
12,90.39,2021,7919
13,100.0,2021,7919
14,100.0,2021,7919
15,100.0,2021,7919
16,100.0,2021,7919
17,100.0,2021,7919
18,100.0,2021,7919
