historicomes,historicoporccomp,anionro,historicoindice
2,18.18,2022,2955
16,100.0,2022,2955
17,100.0,2022,2955
13,100.0,2022,2955
12,100.0,2022,2955
11,90.91,2022,2955
10,81.82,2022,2955
9,72.73,2022,2955
8,63.64,2022,2955
7,54.55,2022,2955
6,45.46,2022,2955
1,9.09,2022,2955
5,36.36,2022,2955
4,36.36,2022,2955
3,27.27,2022,2955
18,100.0,2022,2955
14,100.0,2022,2955
15,100.0,2022,2955
17,100.0,2021,2955
1,10.0,2021,2955
2,20.0,2021,2955
3,30.0,2021,2955
4,30.0,2021,2955
5,40.0,2021,2955
6,50.0,2021,2955
7,60.0,2021,2955
8,70.0,2021,2955
9,80.0,2021,2955
10,90.0,2021,2955
11,100.0,2021,2955
12,100.0,2021,2955
13,100.0,2021,2955
14,100.0,2021,2955
16,100.0,2021,2955
15,100.0,2021,2955
18,100.0,2021,2955
