historicomes,historicoporccomp,anionro,historicoindice
16,100.0,2022,2918
17,100.0,2022,2918
18,100.0,2022,2918
7,0.0,2022,2918
11,0.0,2022,2918
8,0.0,2022,2918
9,0.0,2022,2918
10,0.0,2022,2918
1,0.0,2022,2918
2,0.0,2022,2918
3,0.0,2022,2918
4,0.0,2022,2918
5,0.0,2022,2918
6,0.0,2022,2918
12,100.0,2022,2918
13,100.0,2022,2918
14,100.0,2022,2918
15,100.0,2022,2918
8,0.0,2021,2918
18,100.0,2021,2918
17,100.0,2021,2918
16,100.0,2021,2918
15,100.0,2021,2918
14,100.0,2021,2918
13,100.0,2021,2918
12,100.0,2021,2918
11,0.0,2021,2918
10,0.0,2021,2918
9,0.0,2021,2918
7,0.0,2021,2918
6,0.0,2021,2918
5,0.0,2021,2918
4,0.0,2021,2918
3,0.0,2021,2918
2,0.0,2021,2918
1,0.0,2021,2918
