historicomes,historicoporccomp,anionro,historicoindice
12,100.0,2021,12125
10,50.0,2021,12125
9,50.0,2021,12125
8,100.0,2021,12125
7,0.0,2021,12125
1,0.0,2021,12125
2,0.0,2021,12125
3,0.0,2021,12125
4,0.0,2021,12125
5,0.0,2021,12125
6,0.0,2021,12125
18,100.0,2021,12125
17,100.0,2021,12125
16,100.0,2021,12125
15,100.0,2021,12125
14,100.0,2021,12125
13,100.0,2021,12125
11,100.0,2021,12125
7,0.0,2022,12125
1,0.0,2022,12125
2,0.0,2022,12125
3,0.0,2022,12125
4,0.0,2022,12125
5,0.0,2022,12125
6,0.0,2022,12125
8,0.0,2022,12125
9,0.0,2022,12125
10,0.0,2022,12125
11,0.0,2022,12125
12,100.0,2022,12125
13,100.0,2022,12125
14,100.0,2022,12125
15,100.0,2022,12125
16,100.0,2022,12125
17,100.0,2022,12125
18,100.0,2022,12125
