historicomes,historicoporccomp,anionro,historicoindice
12,100.0,2022,856
2,100.0,2022,856
3,100.0,2022,856
4,100.0,2022,856
5,100.0,2022,856
6,100.0,2022,856
7,100.0,2022,856
8,100.0,2022,856
9,100.0,2022,856
10,100.0,2022,856
11,100.0,2022,856
13,100.0,2022,856
14,100.0,2022,856
15,100.0,2022,856
16,100.0,2022,856
17,100.0,2022,856
18,100.0,2022,856
1,100.0,2022,856
1,100.0,2021,856
2,100.0,2021,856
3,100.0,2021,856
4,100.0,2021,856
5,100.0,2021,856
6,100.0,2021,856
7,100.0,2021,856
8,100.0,2021,856
9,100.0,2021,856
10,100.0,2021,856
11,100.0,2021,856
12,100.0,2021,856
13,100.0,2021,856
14,100.0,2021,856
15,100.0,2021,856
16,100.0,2021,856
17,100.0,2021,856
18,100.0,2021,856
18,100.0,2019,856
1,0.0,2019,856
2,0.0,2019,856
3,100.0,2019,856
4,100.0,2019,856
5,100.0,2019,856
6,100.0,2019,856
7,100.0,2019,856
8,100.0,2019,856
9,100.0,2019,856
10,100.0,2019,856
11,100.0,2019,856
12,100.0,2019,856
13,100.0,2019,856
14,100.0,2019,856
15,100.0,2019,856
16,100.0,2019,856
17,100.0,2019,856
13,100.0,2020,856
18,100.0,2020,856
17,100.0,2020,856
16,100.0,2020,856
15,100.0,2020,856
14,100.0,2020,856
12,100.0,2020,856
11,100.0,2020,856
10,100.0,2020,856
9,100.0,2020,856
8,100.0,2020,856
7,100.0,2020,856
6,100.0,2020,856
5,100.0,2020,856
4,100.0,2020,856
3,100.0,2020,856
2,100.0,2020,856
1,100.0,2020,856
