historicomes,historicoporccomp,anionro,historicoindice
11,83.33,2022,6305
15,83.33,2022,6305
16,83.33,2022,6305
17,83.33,2022,6305
18,83.33,2022,6305
14,83.33,2022,6305
13,83.33,2022,6305
12,83.33,2022,6305
10,83.33,2022,6305
9,83.33,2022,6305
8,83.33,2022,6305
7,83.33,2022,6305
6,83.33,2022,6305
5,83.33,2022,6305
4,83.33,2022,6305
3,83.33,2022,6305
2,83.33,2022,6305
11,83.33,2021,6305
3,0.0,2021,6305
5,0.0,2021,6305
6,0.0,2021,6305
7,0.0,2021,6305
4,0.0,2021,6305
1,0.0,2021,6305
18,83.33,2021,6305
17,83.33,2021,6305
16,83.33,2021,6305
15,83.33,2021,6305
14,83.33,2021,6305
13,83.33,2021,6305
12,83.33,2021,6305
8,0.0,2021,6305
9,0.0,2021,6305
2,0.0,2021,6305
10,0.0,2021,6305
