,forecast_test
0,3688876.333333333
1,3688876.333333333
2,3688876.333333333
3,3688876.333333333
4,3688876.333333333
5,3688876.333333333
6,3688876.333333333
7,3688876.333333333
8,3688876.333333333
9,3688876.333333333
10,3688876.333333333
11,3688876.333333333
12,3688876.333333333
13,3688876.333333333
14,3688876.333333333
15,3688876.333333333
16,3688876.333333333
17,3688876.333333333
