historicomes,historicoporccomp,anionro,historicoindice
14,0.0,2022,4077
3,0.0,2021,4077
15,0.0,2022,4077
2,0.0,2022,4077
5,0.0,2022,4077
15,0.0,2021,4077
18,0.0,2022,4077
16,0.0,2021,4077
17,0.0,2021,4077
8,0.0,2021,4077
10,0.0,2022,4077
12,0.0,2021,4077
8,0.0,2022,4077
13,0.0,2021,4077
3,0.0,2022,4077
16,0.0,2022,4077
7,0.0,2021,4077
2,0.0,2021,4077
1,0.0,2021,4077
5,0.0,2021,4077
11,0.0,2021,4077
9,0.0,2022,4077
18,0.0,2021,4077
7,0.0,2022,4077
6,0.0,2021,4077
4,0.0,2021,4077
9,0.0,2021,4077
6,0.0,2022,4077
13,0.0,2022,4077
10,0.0,2021,4077
4,0.0,2022,4077
11,0.0,2022,4077
14,0.0,2021,4077
17,0.0,2022,4077
12,0.0,2022,4077
1,0.0,2022,4077
