,forecast_test
0,1007561.6959786052
1,1425829.35503474
2,1425829.35503474
3,1425829.35503474
4,1425829.35503474
5,1425829.35503474
6,1425829.35503474
7,1425829.35503474
8,1425829.35503474
9,1425829.35503474
10,1425829.35503474
11,1425829.35503474
12,1425829.35503474
13,1425829.35503474
14,1425829.35503474
15,1425829.35503474
16,1425829.35503474
17,1425829.35503474
