valor
1288449
6980464
15911831
33527932
37202025
40064195
49436555
52362917
66644874
69170197
73322119
86625848
86968368
86968368
86968368
86968368
86968368
86968368
20741184
60364964
99673672
171851876
203155320
261525560
296424852
323682856
388827900
467471636
505357024
545867720
547680208
547680208
547680208
547680208
547680208
547680208
2125156
10638902
17715407
34322552
46903213
62237142
74988658
99027074
108399608
120143760
134158490
140785866
141128140
141128140
141128140
141128140
141128140
141128140
1299152
16300139
33290758
48507860
59595569
77358005
96626827
111027062
122196081
140437331
149040957
149065297
149065297
149065297
149065297
149065297
149065297
149065297
941525
24131622
42118165
57081993
75294479
92604329
109826027
126816729
130195413
137187092
152341410
157552348
157645043
157645043
157645043
157645043
157645043
157645043
13724986
37822254
51306672
77895922
91702406
110099810
120605434
138504663
148197588
150165203
150165203
150165203
150169892
150169892
150169892
150169892
150169892
150169892
18138390
38539371
54790624
84143720
103748569
120610369
146133419
153304061
178919155
178919155
178919155
178919155
178996516
178996516
178996516
178996516
178996516
178996516
