valor
0
6986302
8712663
10386515
10677451
20585194
22412886
24774689
24774689
33062497
35428596
36378479
41292010
41465122
41909261
41909261
41909261
41909261
24834584
31777588
31777588
37603904
47533764
51559244
59679620
76767428
81468096
81468096
175328476
177267848
176360808
176360808
177447364
179900576
179900576
179900576
0
0
0
1454136
21456469
21456469
21471454
22082307
32947736
33888759
34997337
36077488
33508062
33736636
34816524
34816524
34816524
34816524
0
31889771
31575579
37562080
41729806
42607300
43810734
44729089
48278637
49829908
52141203
62386457
64896956
67041883
69814803
69870375
69870375
69870375
0
39298281
39883381
46757593
46762873
46811841
48126613
51637816
52475699
52933333
53688249
53983942
49340823
49991562
50569103
50569103
50569103
50569103
0
19087273
22387273
23358653
23444975
21848134
23652656
47044331
47233604
49640525
51265794
52757331
53960926
54264638
54430103
54426551
54426551
54426551
8056747
8056747
30428548
30428548
30722420
38906549
41597768
45515681
62456601
63645941
71604820
74569736
65516378
65805920
66197359
66197359
66197359
66197359
