historicomes,historicoporccomp,anionro,historicoindice
15,0.0,2021,9656
18,0.0,2021,9656
17,0.0,2021,9656
16,0.0,2021,9656
14,0.0,2021,9656
13,0.0,2021,9656
12,0.0,2021,9656
11,0.0,2021,9656
10,0.0,2021,9656
9,0.0,2021,9656
8,0.0,2021,9656
7,0.0,2021,9656
6,0.0,2021,9656
5,0.0,2021,9656
4,0.0,2021,9656
3,0.0,2021,9656
2,0.0,2021,9656
1,0.0,2021,9656
13,0.0,2022,9656
1,0.0,2022,9656
2,0.0,2022,9656
3,0.0,2022,9656
4,0.0,2022,9656
5,0.0,2022,9656
6,0.0,2022,9656
7,0.0,2022,9656
8,0.0,2022,9656
9,0.0,2022,9656
10,0.0,2022,9656
11,0.0,2022,9656
12,0.0,2022,9656
14,0.0,2022,9656
15,0.0,2022,9656
16,0.0,2022,9656
17,0.0,2022,9656
18,0.0,2022,9656
