valor
0
0
158931
375210
1128725
4832593
5438170
6928557
7662352
9435060
17029798
18308183
20596783
20596783
20596783
20596783
20596783
20596783
0
0
14045420
15431156
15431156
35969836
36121348
36121348
36121348
36121348
36121348
67886164
119891148
119891148
119891148
119891148
119891148
119891148
0
0
0
0
0
0
0
0
15708
15708
1696971
3698023
25248190
25248190
25248190
25248190
25248190
25248190
0
0
0
0
0
0
0
0
0
2129366
5998190
26225860
32447554
32447554
32447554
32447554
32447554
32447554
119111
2468195
2468195
2468195
2699205
2858537
3495550
3573650
4437130
4764834
5092290
5092290
8740463
8740463
8740463
8740463
8740463
8740463
0
0
2581784
4498542
6752244
9003139
9003139
9521466
10696081
11861622
11861622
11861622
11891520
11891520
11891520
11891520
11891520
11891520
0
0
0
0
0
0
45864
541366
4300185
9629589
11802563
16757009
19502966
19502966
19502966
19502966
19502966
19502966
