historicomes,historicoporccomp,anionro,historicoindice
9,85.71,2022,12862
10,87.5,2022,12862
11,80.0,2022,12862
12,100.0,2022,12862
13,100.0,2022,12862
14,100.0,2022,12862
15,100.0,2022,12862
1,0.0,2022,12862
7,83.33,2022,12862
18,100.0,2022,12862
17,100.0,2022,12862
16,100.0,2022,12862
6,83.33,2022,12862
5,66.67,2022,12862
4,50.0,2022,12862
3,50.0,2022,12862
2,50.0,2022,12862
8,83.33,2022,12862
18,100.0,2021,12862
1,0.0,2021,12862
2,33.33,2021,12862
3,40.0,2021,12862
4,60.0,2021,12862
5,66.67,2021,12862
6,71.43,2021,12862
7,71.43,2021,12862
8,75.0,2021,12862
9,75.0,2021,12862
10,75.0,2021,12862
11,77.78,2021,12862
12,100.0,2021,12862
13,100.0,2021,12862
14,100.0,2021,12862
15,100.0,2021,12862
16,100.0,2021,12862
17,100.0,2021,12862
