historicomes,historicoporccomp,anionro,historicoindice
13,0.0,2022,11487
18,0.0,2022,11487
17,0.0,2022,11487
16,0.0,2022,11487
15,0.0,2022,11487
14,0.0,2022,11487
12,0.0,2022,11487
11,0.0,2022,11487
10,0.0,2022,11487
9,0.0,2022,11487
8,0.0,2022,11487
7,0.0,2022,11487
6,0.0,2022,11487
5,0.0,2022,11487
4,0.0,2022,11487
3,0.0,2022,11487
2,0.0,2022,11487
1,0.0,2022,11487
18,0.0,2021,11487
1,0.0,2021,11487
2,0.0,2021,11487
3,0.0,2021,11487
4,0.0,2021,11487
5,0.0,2021,11487
6,0.0,2021,11487
7,0.0,2021,11487
8,0.0,2021,11487
9,0.0,2021,11487
10,0.0,2021,11487
11,0.0,2021,11487
12,0.0,2021,11487
13,0.0,2021,11487
14,0.0,2021,11487
15,0.0,2021,11487
16,0.0,2021,11487
17,0.0,2021,11487
