historicomes,historicoporccomp,anionro,historicoindice
18,100.0,2021,3961
1,6.98,2021,3961
2,40.0,2021,3961
3,40.0,2021,3961
4,29.66,2021,3961
5,29.66,2021,3961
6,45.52,2021,3961
7,46.55,2021,3961
8,57.24,2021,3961
9,57.24,2021,3961
10,59.66,2021,3961
11,56.55,2021,3961
12,103.19,2021,3961
13,100.0,2021,3961
14,100.0,2021,3961
15,100.0,2021,3961
16,100.0,2021,3961
17,100.0,2021,3961
9,94.86,2022,3961
1,25.71,2022,3961
2,49.14,2022,3961
3,49.14,2022,3961
4,49.14,2022,3961
5,61.71,2022,3961
6,60.57,2022,3961
7,60.57,2022,3961
8,94.86,2022,3961
10,94.86,2022,3961
11,94.86,2022,3961
12,146.9,2022,3961
13,100.0,2022,3961
14,100.0,2022,3961
15,100.0,2022,3961
16,100.0,2022,3961
17,100.0,2022,3961
18,100.0,2022,3961
