historicomes,historicoporccomp,anionro,historicoindice
17,0.0,2021,2860
1,0.0,2021,2860
2,0.0,2021,2860
3,0.0,2021,2860
7,0.0,2021,2860
8,0.0,2021,2860
9,0.0,2021,2860
10,0.0,2021,2860
11,0.0,2021,2860
12,0.0,2021,2860
13,0.0,2021,2860
14,0.0,2021,2860
15,0.0,2021,2860
16,0.0,2021,2860
18,0.0,2021,2860
9,0.0,2022,2860
5,0.0,2022,2860
4,0.0,2022,2860
3,0.0,2022,2860
2,0.0,2022,2860
1,0.0,2022,2860
7,0.0,2022,2860
8,0.0,2022,2860
10,0.0,2022,2860
11,0.0,2022,2860
12,0.0,2022,2860
13,0.0,2022,2860
14,0.0,2022,2860
15,0.0,2022,2860
16,0.0,2022,2860
17,0.0,2022,2860
18,0.0,2022,2860
6,0.0,2022,2860
