historicomes,historicoporccomp,anionro,historicoindice
7,0.0,2022,5591
17,0.0,2022,5591
15,0.0,2022,5591
14,0.0,2022,5591
16,0.0,2022,5591
13,0.0,2022,5591
12,0.0,2022,5591
11,0.0,2022,5591
10,0.0,2022,5591
9,0.0,2022,5591
8,0.0,2022,5591
18,0.0,2022,5591
1,0.0,2022,5591
2,0.0,2022,5591
3,0.0,2022,5591
4,0.0,2022,5591
5,0.0,2022,5591
6,0.0,2022,5591
18,0.0,2021,5591
1,0.0,2021,5591
4,0.0,2021,5591
5,0.0,2021,5591
2,0.0,2021,5591
3,0.0,2021,5591
16,0.0,2021,5591
15,0.0,2021,5591
14,0.0,2021,5591
13,0.0,2021,5591
12,0.0,2021,5591
11,0.0,2021,5591
10,0.0,2021,5591
9,0.0,2021,5591
8,0.0,2021,5591
7,0.0,2021,5591
6,0.0,2021,5591
17,0.0,2021,5591
